Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BNSHNN	B	N	S	H	N	N	67	EA GS PB NG 	
BNSHWL	B	N	S	H	W	L	974	EA GS PB NG 	
BNSHWM	B	N	S	H	W	M	206	EA GS PB NG 	
BNSHWP	B	N	S	H	W	P	113	EA GS PB NG 	
BNSHWS	B	N	S	H	W	S	215	EA GS PB NG 	
BNSRCL	B	N	S	R	C	L	8882	EA GS PB NG 	
BNSRCM	B	N	S	R	C	M	1847	EA GS PB NG 	
BNSRCP	B	N	S	R	C	P	453	EA GS PB NG 	
BNSRCS	B	N	S	R	C	S	183	EA GS PB NG 	
BNSRDL	B	N	S	R	D	L	495	EA GS PB NG 	
BNSRDM	B	N	S	R	D	M	211	EA GS PB NG 	
BNSRDP	B	N	S	R	D	P	80	EA GS PB NG 	
BNSRDS	B	N	S	R	D	S	66	EA GS PB NG 	
BNSRLL	B	N	S	R	L	L	88	EA GS PB NG 	
BNSRNN	B	N	S	R	N	N	811	EA GS PB NG 	
BNSRPL	B	N	S	R	P	L	645	EA GS PB NG 	
BNSRPP	B	N	S	R	P	P	56	EA GS PB NG 	
BNSRWL	B	N	S	R	W	L	5031	EA GS PB NG 	
BNSRWM	B	N	S	R	W	M	801	EA GS PB NG 	
BNSRWP	B	N	S	R	W	P	657	EA GS PB NG 	
BNSRWS	B	N	S	R	W	S	545	EA GS PB NG 	
BRNCAL	B	R	N	C	A	L	137	EA GS PB NG 	
BRNCAM	B	R	N	C	A	M	113	EA GS PB NG 	
BRNCCL	B	R	N	C	C	L	4702	EA GS PB NG 	
BRNCCM	B	R	N	C	C	M	987	EA GS PB NG 	
BRNCCP	B	R	N	C	C	P	194	EA GS PB NG 	
BRNCCS	B	R	N	C	C	S	104	EA GS PB NG 	
BRNCDL	B	R	N	C	D	L	542	EA GS PB NG 	
BRNCDM	B	R	N	C	D	M	377	EA GS PB NG 	
BRNCDP	B	R	N	C	D	P	56	EA GS PB NG 	
BRNCIL	B	R	N	C	I	L	239	EA GS PB NG 	
BRNCIM	B	R	N	C	I	M	79	EA GS PB NG 	
BRNCLL	B	R	N	C	L	L	140	EA GS PB NG 	
BRNCLM	B	R	N	C	L	M	161	EA GS PB NG 	
BRNCNN	B	R	N	C	N	N	1412	EA GS PB NG 	
BRNCPL	B	R	N	C	P	L	837	EA GS PB NG 	
BRNCPM	B	R	N	C	P	M	442	EA GS PB NG 	
BRNCPP	B	R	N	C	P	P	55	EA GS PB NG 	
BRNCWL	B	R	N	C	W	L	3076	EA GS PB NG 	
BRNCWM	B	R	N	C	W	M	1750	EA GS PB NG 	
BRNCWP	B	R	N	C	W	P	260	EA GS PB NG 	
BRNCWS	B	R	N	C	W	S	163	EA GS PB NG 	
BRNHAM	B	R	N	H	A	M	57	EA GS PB NG 	
BRNHCL	B	R	N	H	C	L	1019	EA GS PB NG 	
BRNHCM	B	R	N	H	C	M	509	EA GS PB NG 	
BRNHCP	B	R	N	H	C	P	58	EA GS PB NG 	
BRNHLM	B	R	N	H	L	M	118	EA GS PB NG 	
BRNHWL	B	R	N	H	W	L	706	EA GS PB NG 	
BRNHWM	B	R	N	H	W	M	409	EA GS PB NG 	
BRNHWP	B	R	N	H	W	P	129	EA GS PB NG 	
BRNLAL	B	R	N	L	A	L	310	EA GS PB NG 	
BRNLAM	B	R	N	L	A	M	195	EA GS PB NG 	
BRNLCL	B	R	N	L	C	L	1571	EA GS PB NG 	
BRNLCM	B	R	N	L	C	M	761	EA GS PB NG 	
BRNLCP	B	R	N	L	C	P	80	EA GS PB NG 	
BRNLDL	B	R	N	L	D	L	61	EA GS PB NG 	
BRNLDM	B	R	N	L	D	M	107	EA GS PB NG 	
BRNLIL	B	R	N	L	I	L	113	EA GS PB NG 	
BRNLIM	B	R	N	L	I	M	112	EA GS PB NG 	
BRNLLM	B	R	N	L	L	M	67	EA GS PB NG 	
BRNLNN	B	R	N	L	N	N	779	EA GS PB NG 	
BRNLWL	B	R	N	L	W	L	1333	EA GS PB NG 	
BRNLWM	B	R	N	L	W	M	938	EA GS PB NG 	
BRNLWP	B	R	N	L	W	P	106	EA GS PB NG 	
BRNRAL	B	R	N	R	A	L	79	EA GS PB NG 	
BRNRCL	B	R	N	R	C	L	2381	EA GS PB NG 	
BRNRCM	B	R	N	R	C	M	760	EA GS PB NG 	
BRNRCP	B	R	N	R	C	P	111	EA GS PB NG 	
BRNRDL	B	R	N	R	D	L	314	EA GS PB NG 	
BRNRDM	B	R	N	R	D	M	120	EA GS PB NG 	
BRNRLL	B	R	N	R	L	L	56	EA GS PB NG 	
BRNRNN	B	R	N	R	N	N	1135	EA GS PB NG 	
BRNRPL	B	R	N	R	P	L	68	EA GS PB NG 	
BRNRPM	B	R	N	R	P	M	136	EA GS PB NG 	
BRNRWL	B	R	N	R	W	L	1929	EA GS PB NG 	
BRNRWM	B	R	N	R	W	M	606	EA GS PB NG 	
BRNRWP	B	R	N	R	W	P	128	EA GS PB NG 	
BRNRWS	B	R	N	R	W	S	61	EA GS PB NG 	
BROCCL	B	R	O	C	C	L	311	EA GS PB NG 	
BROCCM	B	R	O	C	C	M	51	EA GS PB NG 	
BROCCS	B	R	O	C	C	S	78	EA GS PB NG 	
BROCDL	B	R	O	C	D	L	128	EA GS PB NG 	
BROCPL	B	R	O	C	P	L	83	EA GS PB NG 	
BROCWL	B	R	O	C	W	L	335	EA GS PB NG 	
BROCWM	B	R	O	C	W	M	66	EA GS PB NG 	
BROHCL	B	R	O	H	C	L	168	EA GS PB NG 	
BROLCL	B	R	O	L	C	L	65	EA GS PB NG 	
BRORCL	B	R	O	R	C	L	1611	EA GS PB NG 	
BRORCM	B	R	O	R	C	M	360	EA GS PB NG 	
BRORCP	B	R	O	R	C	P	70	EA GS PB NG 	
BRORCS	B	R	O	R	C	S	58	EA GS PB NG 	
BRORDL	B	R	O	R	D	L	248	EA GS PB NG 	
BRORNN	B	R	O	R	N	N	86	EA GS PB NG 	
BRORPL	B	R	O	R	P	L	82	EA GS PB NG 	
BRORWL	B	R	O	R	W	L	1268	EA GS PB NG 	
BRORWM	B	R	O	R	W	M	246	EA GS PB NG 	
BRORWP	B	R	O	R	W	P	63	EA GS PB NG 	
BRORWS	B	R	O	R	W	S	60	EA GS PB NG 	
BRPCAL	B	R	P	C	A	L	86	EA GS PB NG 	
BRPCAS	B	R	P	C	A	S	77	EA GS PB NG 	
BRPCCL	B	R	P	C	C	L	1056	EA GS PB NG 	
BRPCCM	B	R	P	C	C	M	219	EA GS PB NG 	
BRPCCP	B	R	P	C	C	P	64	EA GS PB NG 	
BRPCCS	B	R	P	C	C	S	392	EA GS PB NG 	
BRPCDL	B	R	P	C	D	L	217	EA GS PB NG 	
BRPCDS	B	R	P	C	D	S	67	EA GS PB NG 	
BRPCIL	B	R	P	C	I	L	167	EA GS PB NG 	
BRPCIS	B	R	P	C	I	S	61	EA GS PB NG 	
BRPCNN	B	R	P	C	N	N	123	EA GS PB NG 	
BRPCPL	B	R	P	C	P	L	293	EA GS PB NG 	
BRPCPS	B	R	P	C	P	S	53	EA GS PB NG 	
BRPCWL	B	R	P	C	W	L	1167	EA GS PB NG 	
BRPCWM	B	R	P	C	W	M	160	EA GS PB NG 	
BRPCWP	B	R	P	C	W	P	277	EA GS PB NG 	
BRPCWS	B	R	P	C	W	S	464	EA GS PB NG 	
BRPHCL	B	R	P	H	C	L	644	EA GS PB NG 	
BRPHCM	B	R	P	H	C	M	333	EA GS PB NG 	
BRPHLL	B	R	P	H	L	L	79	EA GS PB NG 	
BRPHWL	B	R	P	H	W	L	324	EA GS PB NG 	
BRPHWM	B	R	P	H	W	M	203	EA GS PB NG 	
BRPHWP	B	R	P	H	W	P	76	EA GS PB NG 	
BRPLAL	B	R	P	L	A	L	85	EA GS PB NG 	
BRPLAM	B	R	P	L	A	M	77	EA GS PB NG 	
BRPLCL	B	R	P	L	C	L	471	EA GS PB NG 	
BRPLCM	B	R	P	L	C	M	85	EA GS PB NG 	
BRPLCP	B	R	P	L	C	P	53	EA GS PB NG 	
BRPLCS	B	R	P	L	C	S	155	EA GS PB NG 	
BRPLIL	B	R	P	L	I	L	72	EA GS PB NG 	
BRPLWL	B	R	P	L	W	L	424	EA GS PB NG 	
BRPLWM	B	R	P	L	W	M	68	EA GS PB NG 	
BRPLWP	B	R	P	L	W	P	85	EA GS PB NG 	
BRPLWS	B	R	P	L	W	S	139	EA GS PB NG 	
BRPRAL	B	R	P	R	A	L	52	EA GS PB NG 	
BRPRCL	B	R	P	R	C	L	7588	EA GS PB NG 	
BRPRCM	B	R	P	R	C	M	2608	EA GS PB NG 	
BRPRCP	B	R	P	R	C	P	394	EA GS PB NG 	
BRPRCS	B	R	P	R	C	S	399	EA GS PB NG 	
BRPRDL	B	R	P	R	D	L	1188	EA GS PB NG 	
BRPRDM	B	R	P	R	D	M	344	EA GS PB NG 	
BRPRDP	B	R	P	R	D	P	138	EA GS PB NG 	
BRPRDS	B	R	P	R	D	S	277	EA GS PB NG 	
BRPRIL	B	R	P	R	I	L	92	EA GS PB NG 	
BRPRIP	B	R	P	R	I	P	55	EA GS PB NG 	
BRPRLL	B	R	P	R	L	L	81	EA GS PB NG 	
BRPRNN	B	R	P	R	N	N	166	EA GS PB NG 	
BRPRPL	B	R	P	R	P	L	481	EA GS PB NG 	
BRPRPM	B	R	P	R	P	M	162	EA GS PB NG 	
BRPRPP	B	R	P	R	P	P	70	EA GS PB NG 	
BRPRPS	B	R	P	R	P	S	57	EA GS PB NG 	
BRPRWL	B	R	P	R	W	L	5277	EA GS PB NG 	
BRPRWM	B	R	P	R	W	M	1743	EA GS PB NG 	
BRPRWP	B	R	P	R	W	P	373	EA GS PB NG 	
BRPRWS	B	R	P	R	W	S	554	EA GS PB NG 	
CNNCAL	C	N	N	C	A	L	13028	EA GS PB NG 	
CNNCAM	C	N	N	C	A	M	28537	EA GS PB NG 	
CNNCAP	C	N	N	C	A	P	27072	EA GS PB NG 	
CNNCAS	C	N	N	C	A	S	292	EA GS PB NG 	
CNNCCL	C	N	N	C	C	L	3782	EA GS PB NG 	
CNNCCM	C	N	N	C	C	M	755	EA GS PB NG 	
CNNCCP	C	N	N	C	C	P	395	EA GS PB NG 	
CNNCCS	C	N	N	C	C	S	71	EA GS PB NG 	
CNNCDL	C	N	N	C	D	L	1562	EA GS PB NG 	
CNNCDM	C	N	N	C	D	M	636	EA GS PB NG 	
CNNCDP	C	N	N	C	D	P	123	EA GS PB NG 	
CNNCDS	C	N	N	C	D	S	154	EA GS PB NG 	
CNNCIL	C	N	N	C	I	L	8449	EA GS PB NG 	
CNNCIM	C	N	N	C	I	M	14243	EA GS PB NG 	
CNNCIP	C	N	N	C	I	P	7732	EA GS PB NG 	
CNNCIS	C	N	N	C	I	S	731	EA GS PB NG 	
CNNCLL	C	N	N	C	L	L	3055	EA GS PB NG 	
CNNCLM	C	N	N	C	L	M	9430	EA GS PB NG 	
CNNCLP	C	N	N	C	L	P	9579	EA GS PB NG 	
CNNCNM	C	N	N	C	N	M	129	EA GS PB NG 	
CNNCNN	C	N	N	C	N	N	77113	EA GS PB NG 	
CNNCPL	C	N	N	C	P	L	3182	EA GS PB NG 	
CNNCPM	C	N	N	C	P	M	3068	EA GS PB NG 	
CNNCPP	C	N	N	C	P	P	291	EA GS PB NG 	
CNNCPS	C	N	N	C	P	S	240	EA GS PB NG 	
CNNCWL	C	N	N	C	W	L	3931	EA GS PB NG 	
CNNCWM	C	N	N	C	W	M	2908	EA GS PB NG 	
CNNCWP	C	N	N	C	W	P	749	EA GS PB NG 	
CNNCWS	C	N	N	C	W	S	118	EA GS PB NG 	
CNNHAL	C	N	N	H	A	L	997	EA GS PB NG 	
CNNHAM	C	N	N	H	A	M	907	EA GS PB NG 	
CNNHAP	C	N	N	H	A	P	861	EA GS PB NG 	
CNNHIL	C	N	N	H	I	L	1058	EA GS PB NG 	
CNNHIM	C	N	N	H	I	M	925	EA GS PB NG 	
CNNHIP	C	N	N	H	I	P	484	EA GS PB NG 	
CNNHLL	C	N	N	H	L	L	724	EA GS PB NG 	
CNNHLM	C	N	N	H	L	M	390	EA GS PB NG 	
CNNHLP	C	N	N	H	L	P	316	EA GS PB NG 	
CNNHNN	C	N	N	H	N	N	153	EA GS PB NG 	
CNNHWL	C	N	N	H	W	L	142	EA GS PB NG 	
CNNLAL	C	N	N	L	A	L	33323	EA GS PB NG 	
CNNLAM	C	N	N	L	A	M	56955	EA GS PB NG 	
CNNLAP	C	N	N	L	A	P	38935	EA GS PB NG 	
CNNLAS	C	N	N	L	A	S	1116	EA GS PB NG 	
CNNLCL	C	N	N	L	C	L	5270	EA GS PB NG 	
CNNLCM	C	N	N	L	C	M	1025	EA GS PB NG 	
CNNLCP	C	N	N	L	C	P	473	EA GS PB NG 	
CNNLCS	C	N	N	L	C	S	200	EA GS PB NG 	
CNNLDL	C	N	N	L	D	L	1744	EA GS PB NG 	
CNNLDM	C	N	N	L	D	M	666	EA GS PB NG 	
CNNLDP	C	N	N	L	D	P	51	EA GS PB NG 	
CNNLDS	C	N	N	L	D	S	184	EA GS PB NG 	
CNNLIL	C	N	N	L	I	L	19303	EA GS PB NG 	
CNNLIM	C	N	N	L	I	M	32817	EA GS PB NG 	
CNNLIP	C	N	N	L	I	P	14895	EA GS PB NG 	
CNNLIS	C	N	N	L	I	S	1863	EA GS PB NG 	
CNNLLL	C	N	N	L	L	L	6453	EA GS PB NG 	
CNNLLM	C	N	N	L	L	M	23216	EA GS PB NG 	
CNNLLP	C	N	N	L	L	P	17277	EA GS PB NG 	
CNNLNL	C	N	N	L	N	L	94	EA GS PB NG 	
CNNLNM	C	N	N	L	N	M	151	EA GS PB NG 	
CNNLNN	C	N	N	L	N	N	55416	EA GS PB NG 	
CNNLPL	C	N	N	L	P	L	1803	EA GS PB NG 	
CNNLPM	C	N	N	L	P	M	2528	EA GS PB NG 	
CNNLPP	C	N	N	L	P	P	370	EA GS PB NG 	
CNNLPS	C	N	N	L	P	S	110	EA GS PB NG 	
CNNLWL	C	N	N	L	W	L	7496	EA GS PB NG 	
CNNLWM	C	N	N	L	W	M	5075	EA GS PB NG 	
CNNLWP	C	N	N	L	W	P	1715	EA GS PB NG 	
CNNLWS	C	N	N	L	W	S	331	EA GS PB NG 	
CNNRAL	C	N	N	R	A	L	1237	EA GS PB NG 	
CNNRAM	C	N	N	R	A	M	2226	EA GS PB NG 	
CNNRAP	C	N	N	R	A	P	1865	EA GS PB NG 	
CNNRAS	C	N	N	R	A	S	206	EA GS PB NG 	
CNNRIL	C	N	N	R	I	L	1061	EA GS PB NG 	
CNNRIM	C	N	N	R	I	M	1499	EA GS PB NG 	
CNNRIP	C	N	N	R	I	P	836	EA GS PB NG 	
CNNRIS	C	N	N	R	I	S	213	EA GS PB NG 	
CNNRLL	C	N	N	R	L	L	638	EA GS PB NG 	
CNNRLM	C	N	N	R	L	M	794	EA GS PB NG 	
CNNRLP	C	N	N	R	L	P	597	EA GS PB NG 	
CNNRNN	C	N	N	R	N	N	1239	EA GS PB NG 	
CNNRWL	C	N	N	R	W	L	152	EA GS PB NG 	
CNNRWM	C	N	N	R	W	M	103	EA GS PB NG 	
CNOCAL	C	N	O	C	A	L	120	EA GS PB NG 	
CNOCAM	C	N	O	C	A	M	204	EA GS PB NG 	
CNOCAP	C	N	O	C	A	P	117	EA GS PB NG 	
CNOCCL	C	N	O	C	C	L	86	EA GS PB NG 	
CNOCIL	C	N	O	C	I	L	129	EA GS PB NG 	
CNOCIM	C	N	O	C	I	M	53	EA GS PB NG 	
CNOCIP	C	N	O	C	I	P	72	EA GS PB NG 	
CNOCLL	C	N	O	C	L	L	60	EA GS PB NG 	
CNOCLM	C	N	O	C	L	M	60	EA GS PB NG 	
CNOCLP	C	N	O	C	L	P	57	EA GS PB NG 	
CNOCWL	C	N	O	C	W	L	65	EA GS PB NG 	
CNOHAL	C	N	O	H	A	L	426	EA GS PB NG 	
CNOHAM	C	N	O	H	A	M	448	EA GS PB NG 	
CNOHAP	C	N	O	H	A	P	695	EA GS PB NG 	
CNOHIL	C	N	O	H	I	L	393	EA GS PB NG 	
CNOHIM	C	N	O	H	I	M	348	EA GS PB NG 	
CNOHIP	C	N	O	H	I	P	338	EA GS PB NG 	
CNOHLL	C	N	O	H	L	L	167	EA GS PB NG 	
CNOHLM	C	N	O	H	L	M	273	EA GS PB NG 	
CNOHLP	C	N	O	H	L	P	266	EA GS PB NG 	
CNOHWL	C	N	O	H	W	L	55	EA GS PB NG 	
CNOLAL	C	N	O	L	A	L	97	EA GS PB NG 	
CNOLAM	C	N	O	L	A	M	147	EA GS PB NG 	
CNOLAP	C	N	O	L	A	P	333	EA GS PB NG 	
CNOLIM	C	N	O	L	I	M	71	EA GS PB NG 	
CNOLIP	C	N	O	L	I	P	91	EA GS PB NG 	
CNOLLM	C	N	O	L	L	M	56	EA GS PB NG 	
CNOLLP	C	N	O	L	L	P	101	EA GS PB NG 	
CNORAL	C	N	O	R	A	L	336	EA GS PB NG 	
CNORAM	C	N	O	R	A	M	217	EA GS PB NG 	
CNORAP	C	N	O	R	A	P	218	EA GS PB NG 	
CNORIL	C	N	O	R	I	L	409	EA GS PB NG 	
CNORIM	C	N	O	R	I	M	252	EA GS PB NG 	
CNORIP	C	N	O	R	I	P	233	EA GS PB NG 	
CNORLL	C	N	O	R	L	L	241	EA GS PB NG 	
CNORLM	C	N	O	R	L	M	156	EA GS PB NG 	
CNORLP	C	N	O	R	L	P	159	EA GS PB NG 	
CNORWL	C	N	O	R	W	L	109	EA GS PB NG 	
CNORWM	C	N	O	R	W	M	67	EA GS PB NG 	
CNPCAL	C	N	P	C	A	L	498	EA GS PB NG 	
CNPCAM	C	N	P	C	A	M	992	EA GS PB NG 	
CNPCAP	C	N	P	C	A	P	1161	EA GS PB NG 	
CNPCCL	C	N	P	C	C	L	713	EA GS PB NG 	
CNPCCM	C	N	P	C	C	M	220	EA GS PB NG 	
CNPCCP	C	N	P	C	C	P	114	EA GS PB NG 	
CNPCIL	C	N	P	C	I	L	830	EA GS PB NG 	
CNPCIM	C	N	P	C	I	M	548	EA GS PB NG 	
CNPCIP	C	N	P	C	I	P	657	EA GS PB NG 	
CNPCLL	C	N	P	C	L	L	504	EA GS PB NG 	
CNPCLM	C	N	P	C	L	M	751	EA GS PB NG 	
CNPCLP	C	N	P	C	L	P	1143	EA GS PB NG 	
CNPCNN	C	N	P	C	N	N	237	EA GS PB NG 	
CNPCWL	C	N	P	C	W	L	985	EA GS PB NG 	
CNPCWM	C	N	P	C	W	M	254	EA GS PB NG 	
CNPCWP	C	N	P	C	W	P	445	EA GS PB NG 	
CNPHAL	C	N	P	H	A	L	116	EA GS PB NG 	
CNPHAM	C	N	P	H	A	M	548	EA GS PB NG 	
CNPHAP	C	N	P	H	A	P	881	EA GS PB NG 	
CNPHIL	C	N	P	H	I	L	135	EA GS PB NG 	
CNPHIM	C	N	P	H	I	M	358	EA GS PB NG 	
CNPHIP	C	N	P	H	I	P	552	EA GS PB NG 	
CNPHLL	C	N	P	H	L	L	103	EA GS PB NG 	
CNPHLM	C	N	P	H	L	M	346	EA GS PB NG 	
CNPHLP	C	N	P	H	L	P	577	EA GS PB NG 	
CNPLAL	C	N	P	L	A	L	186	EA GS PB NG 	
CNPLAM	C	N	P	L	A	M	734	EA GS PB NG 	
CNPLAP	C	N	P	L	A	P	1208	EA GS PB NG 	
CNPLIM	C	N	P	L	I	M	289	EA GS PB NG 	
CNPLIP	C	N	P	L	I	P	173	EA GS PB NG 	
CNPLLL	C	N	P	L	L	L	55	EA GS PB NG 	
CNPLLM	C	N	P	L	L	M	238	EA GS PB NG 	
CNPLLP	C	N	P	L	L	P	234	EA GS PB NG 	
CNPLNN	C	N	P	L	N	N	186	EA GS PB NG 	
CNPRAM	C	N	P	R	A	M	318	EA GS PB NG 	
CNPRAP	C	N	P	R	A	P	809	EA GS PB NG 	
CNPRIL	C	N	P	R	I	L	98	EA GS PB NG 	
CNPRIM	C	N	P	R	I	M	155	EA GS PB NG 	
CNPRIP	C	N	P	R	I	P	112	EA GS PB NG 	
CNPRLL	C	N	P	R	L	L	86	EA GS PB NG 	
CNPRLM	C	N	P	R	L	M	96	EA GS PB NG 	
CNPRLP	C	N	P	R	L	P	157	EA GS PB NG 	
CNSCAL	C	N	S	C	A	L	637	EA GS PB NG 	
CNSCAM	C	N	S	C	A	M	478	EA GS PB NG 	
CNSCAP	C	N	S	C	A	P	607	EA GS PB NG 	
CNSCCL	C	N	S	C	C	L	592	EA GS PB NG 	
CNSCIL	C	N	S	C	I	L	834	EA GS PB NG 	
CNSCIM	C	N	S	C	I	M	408	EA GS PB NG 	
CNSCIP	C	N	S	C	I	P	348	EA GS PB NG 	
CNSCLL	C	N	S	C	L	L	890	EA GS PB NG 	
CNSCLM	C	N	S	C	L	M	528	EA GS PB NG 	
CNSCLP	C	N	S	C	L	P	473	EA GS PB NG 	
CNSCNN	C	N	S	C	N	N	260	EA GS PB NG 	
CNSCWL	C	N	S	C	W	L	828	EA GS PB NG 	
CNSCWM	C	N	S	C	W	M	109	EA GS PB NG 	
CNSCWP	C	N	S	C	W	P	61	EA GS PB NG 	
CNSHAL	C	N	S	H	A	L	3564	EA GS PB NG 	
CNSHAM	C	N	S	H	A	M	3792	EA GS PB NG 	
CNSHAP	C	N	S	H	A	P	5069	EA GS PB NG 	
CNSHAS	C	N	S	H	A	S	98	EA GS PB NG 	
CNSHCL	C	N	S	H	C	L	287	EA GS PB NG 	
CNSHIL	C	N	S	H	I	L	3769	EA GS PB NG 	
CNSHIM	C	N	S	H	I	M	2307	EA GS PB NG 	
CNSHIP	C	N	S	H	I	P	2218	EA GS PB NG 	
CNSHIS	C	N	S	H	I	S	137	EA GS PB NG 	
CNSHLL	C	N	S	H	L	L	2904	EA GS PB NG 	
CNSHLM	C	N	S	H	L	M	2396	EA GS PB NG 	
CNSHLP	C	N	S	H	L	P	2897	EA GS PB NG 	
CNSHNN	C	N	S	H	N	N	741	EA GS PB NG 	
CNSHPM	C	N	S	H	P	M	127	EA GS PB NG 	
CNSHWL	C	N	S	H	W	L	1064	EA GS PB NG 	
CNSHWM	C	N	S	H	W	M	305	EA GS PB NG 	
